gender,race/ethnicity,parental level of education,test preparation course,math score,reading score,writing score,current_score,study_hours_per_week,attendance_rate,participation_level,homework_completion,extracurricular_activities,sleep_hours_per_night,internet_access,previous_grade
female,group B,bachelor's degree,none,72,72,74,72.67,13.7,100.0,high,often,yes,6.3,yes,C
female,group C,some college,completed,69,90,88,82.33,16.0,100.0,medium,always,no,7.4,yes,A
female,group B,master's degree,none,90,95,93,92.67,21.1,100.0,high,always,yes,7.3,yes,A
male,group A,associate's degree,none,47,57,44,49.33,5.6,92.1,low,rarely,no,5.1,yes,C
male,group C,some college,none,76,78,75,76.33,10.7,100.0,high,always,yes,7.2,yes,B
female,group B,associate's degree,none,71,83,78,77.33,11.2,95.7,low,always,yes,8.3,yes,B
female,group B,some college,completed,88,95,92,91.67,25.9,94.3,high,always,no,8.8,yes,B
male,group B,some college,none,40,43,39,40.67,2.7,77.5,low,rarely,yes,5.5,no,D
male,group D,high school,completed,64,64,67,65.0,7.8,92.5,low,often,yes,8.0,yes,B
female,group B,high school,none,38,60,50,49.33,2.0,92.8,medium,sometimes,no,5.1,yes,C
male,group C,associate's degree,none,58,54,52,54.67,8.9,90.7,low,rarely,yes,5.7,yes,D
male,group D,associate's degree,none,40,52,43,45.0,9.1,84.4,low,sometimes,no,6.1,yes,D
female,group B,high school,none,65,81,73,73.0,15.2,92.9,low,sometimes,yes,7.3,yes,B
male,group A,some college,completed,78,72,70,73.33,19.1,89.4,medium,always,yes,6.2,yes,A
female,group A,master's degree,none,50,53,58,53.67,9.4,94.1,medium,sometimes,no,5.4,no,D
female,group C,some high school,none,69,75,78,74.0,18.1,100.0,medium,sometimes,yes,6.9,no,C
male,group C,high school,none,88,89,86,87.67,15.1,99.4,high,always,yes,7.7,no,A
female,group B,some high school,none,18,32,28,26.0,6.2,82.7,low,sometimes,no,5.5,yes,D
male,group C,master's degree,completed,46,42,46,44.67,4.3,75.6,low,rarely,yes,5.6,no,C
female,group C,associate's degree,none,54,58,61,57.67,6.4,89.0,high,sometimes,no,6.5,yes,D
male,group D,high school,none,66,69,63,66.0,8.7,94.6,medium,sometimes,yes,7.7,yes,B
female,group B,some college,completed,65,75,70,70.0,10.4,95.2,medium,sometimes,no,6.5,yes,A
male,group D,some college,none,44,54,53,50.33,7.5,84.5,high,rarely,yes,5.2,no,F
female,group C,some high school,none,69,73,73,71.67,12.6,97.1,high,often,no,6.5,yes,C
male,group D,bachelor's degree,completed,74,71,80,75.0,19.0,97.7,medium,often,no,8.8,no,B
male,group A,master's degree,none,73,74,72,73.0,16.4,86.0,low,always,no,6.0,yes,B
male,group B,some college,none,69,54,55,59.33,5.1,83.0,medium,sometimes,no,5.4,yes,C
female,group C,bachelor's degree,none,67,69,75,70.33,13.3,98.4,medium,always,no,7.1,yes,B
male,group C,high school,none,70,70,65,68.33,7.7,87.7,high,sometimes,no,7.3,yes,C
female,group D,master's degree,none,62,70,75,69.0,10.8,92.9,low,often,yes,6.0,yes,B
female,group D,some college,none,69,74,74,72.33,19.4,100.0,high,often,yes,7.9,yes,C
female,group B,some college,none,63,65,61,63.0,14.6,98.1,low,sometimes,no,6.6,yes,C
female,group E,master's degree,none,56,72,65,64.33,14.4,95.4,medium,rarely,no,8.0,yes,C
male,group D,some college,none,40,42,38,40.0,9.0,88.1,low,sometimes,yes,5.6,no,F
male,group E,some college,none,97,87,82,88.67,32.3,100.0,high,always,no,8.3,yes,B
male,group E,associate's degree,completed,81,81,79,80.33,18.9,93.5,high,sometimes,yes,7.1,yes,A
female,group D,associate's degree,none,74,81,83,79.33,12.9,98.3,low,sometimes,no,7.7,yes,B
female,group D,some high school,none,50,64,59,57.67,12.7,83.5,medium,rarely,yes,6.1,yes,D
female,group D,associate's degree,completed,75,90,88,84.33,17.3,100.0,high,often,no,7.5,yes,A
male,group B,associate's degree,none,57,56,57,56.67,5.3,98.1,high,sometimes,no,5.3,yes,C
male,group C,associate's degree,none,55,61,54,56.67,10.5,93.2,medium,sometimes,no,6.5,yes,D
female,group C,associate's degree,none,58,73,68,66.33,9.2,87.1,medium,often,yes,6.2,yes,B
female,group B,associate's degree,none,53,58,65,58.67,13.6,93.6,medium,rarely,no,5.9,yes,D
male,group B,some college,completed,59,65,66,63.33,9.0,93.4,medium,rarely,yes,7.3,yes,D
female,group E,associate's degree,none,50,56,54,53.33,7.3,81.0,low,sometimes,yes,6.2,no,D
male,group B,associate's degree,none,65,54,57,58.67,8.9,92.4,medium,sometimes,no,5.8,no,F
female,group A,associate's degree,completed,55,65,62,60.67,7.0,81.6,low,rarely,yes,7.4,yes,C
female,group C,high school,none,66,71,76,71.0,18.4,84.1,high,often,yes,7.4,yes,C
female,group D,associate's degree,completed,57,74,76,69.0,12.4,99.1,medium,rarely,no,7.6,no,C
male,group C,high school,completed,82,84,82,82.67,13.7,100.0,high,always,no,7.9,yes,B
male,group E,some college,none,53,55,48,52.0,2.8,95.4,medium,sometimes,yes,6.8,yes,C
male,group E,associate's degree,completed,77,69,68,71.33,19.1,85.6,medium,always,no,7.1,yes,B
male,group C,some college,none,53,44,42,46.33,4.3,82.0,low,sometimes,no,6.6,yes,D
male,group D,high school,none,88,78,75,80.33,10.6,97.8,high,always,yes,7.2,yes,B
female,group C,some high school,completed,71,84,87,80.67,16.2,88.9,medium,always,yes,8.6,yes,A
female,group C,high school,none,33,41,43,39.0,2.7,92.7,low,rarely,no,6.9,no,D
female,group E,associate's degree,completed,82,85,86,84.33,13.8,89.8,high,often,yes,8.8,yes,A
male,group D,associate's degree,none,52,55,49,52.0,2.1,86.7,low,rarely,yes,6.3,yes,D
male,group D,some college,completed,58,59,58,58.33,14.6,86.9,low,often,yes,6.9,yes,F
female,group C,some high school,none,0,17,10,9.0,2.3,80.8,low,sometimes,yes,6.1,no,D
male,group E,bachelor's degree,completed,79,74,72,75.0,16.3,98.9,medium,always,yes,8.8,yes,B
